Naziv korisnika;Konto;Klasa;Klasifikacija;Naziv;Iznos (KM)
Bosna i Hercegovina;731100;Prihodi;Analitički konto;Donacija EK EURED Nac. spom;127.982,57
Bosna i Hercegovina;731100;Prihodi;Analitički konto;Fonacija Fond američke ambasade Nac. spom.;72.944,16
Bosna i Hercegovina;731100;Prihodi;Analitički konto;Donacija za M.LJ.P.;51.629,02
Bosna i Hercegovina;731100;Prihodi;Analitički konto;Donacija za Ministarstvo odbrane;47.308,81
Bosna i Hercegovina;731100;Prihodi;Analitički konto;DEI Administ. podrška CARDS 2004;38.192,82
Bosna i Hercegovina;731100;Prihodi;Analitički konto;Donacija za Komisiju za očuvanje nacionalnih spomenika;34.365,00
Bosna i Hercegovina;731100;Prihodi;Analitički konto;Donacija VSTV Kanade;32.595,78
Bosna i Hercegovina;731100;Prihodi;Analitički konto;Donacija Italije statistici;31.204,52
Bosna i Hercegovina;731100;Prihodi;Analitički konto;MAC - Donacija UNICEF-a;26.720,00
Bosna i Hercegovina;731100;Prihodi;Analitički konto;Donacija za zaj. kom. za odbr. i sig. parl. skup.;25.210,65
Bosna i Hercegovina;731100;Prihodi;Analitički konto;Donacija za MCP;22.989,21
Bosna i Hercegovina;731100;Prihodi;Analitički konto;Reg. program suz. trgovine djece;19.927,48
Bosna i Hercegovina;731100;Prihodi;Analitički konto;Donacija Austrije za UIOP BiH;19.558,30
Bosna i Hercegovina;731100;Prihodi;Analitički konto;Donacija Vijeća Evrope Komisiji za nacionalne spomenike;16.597,41
Bosna i Hercegovina;731100;Prihodi;Analitički konto;Donacija UNICEF-a - sprječavanje trgovine ljudima;15.340,00
Bosna i Hercegovina;731100;Prihodi;Analitički konto;Projekat harmoniz. mapa seizm. hazard.;14.649,17
Bosna i Hercegovina;731100;Prihodi;Analitički konto;Donacija Vijeća Evrope VSTS;5.689,51
Bosna i Hercegovina;731100;Prihodi;Analitički konto;Donacija TRISTAN EAST;5.311,94
Bosna i Hercegovina;731100;Prihodi;Analitički konto;Donacija Evropske komisije za Komisiju za ljudska prava pri Ustavnom sudu BiH;3.509,40
Bosna i Hercegovina;731100;Prihodi;Analitički konto;Donacija statis. projekat PPP;3.501,06
Bosna i Hercegovina;731100;Prihodi;Analitički konto;Donacija Evropske komisije - projekat ERA WESTBALKAN;1.447,06
Bosna i Hercegovina;732000;Prihodi;Podgrupa;Primljeni tekući transferi od ostalih nivoa vlasti;50.800,00
Bosna i Hercegovina;732100;Prihodi;Sintetički konto;Primljeni tekući transferi od ostalih nivoa vlasti;50.800,00
Bosna i Hercegovina;732100;Prihodi;Analitički konto;Donacija za Institut za intelektualno vlasništvo;28.500,00
Bosna i Hercegovina;732100;Prihodi;Analitički konto;Donacija za projekat SEE-ERA-NET-RN;20.000,00
Bosna i Hercegovina;732100;Prihodi;Analitički konto;Donacija za Komisiju za očuvanje nacionalnih spomenika;2.300,00
Bosna i Hercegovina;734000;Prihodi;Podgrupa;Vlastiti prihodi;4.615.155,01
Bosna i Hercegovina;734100;Prihodi;Sintetički konto;Vlastiti prihodi;4.615.155,01
Bosna i Hercegovina;735000;Prihodi;Podgrupa;Vanredni prihodi;961.004,01
Bosna i Hercegovina;735100;Prihodi;Sintetički konto;Vanredni prihodi;961.004,01
Bosna i Hercegovina;735100;Prihodi;Analitički konto;Vanredni prihodi;688.126,13
Bosna i Hercegovina;735100;Prihodi;Analitički konto;Prihodi od naplate štete po osnovu osigur. osnovnih ...;122.254,36
Bosna i Hercegovina;735100;Prihodi;Analitički konto;Prihodi od kazni po odluci Centralne izborne komisije;76.751,34
Bosna i Hercegovina;735100;Prihodi;Analitički konto;Sredstva za Koordinac. odbor Ureda za reviziju;21.000,00
Bosna i Hercegovina;735100;Prihodi;Analitički konto;Prihod od prodaje osnovnog sredstva;20.548,47
Bosna i Hercegovina;735100;Prihodi;Analitički konto;Vanredni prihod iz ranijeg perioda - MVP;15.354,48
Bosna i Hercegovina;735100;Prihodi;Analitički konto;Prihod od RS za SECI centar;14.098,19
Bosna i Hercegovina;735100;Prihodi;Analitički konto;Prihod za Agenciju za statistiku;2.871,00
Bosna i Hercegovina;735100;Prihodi;Analitički konto;Usaglašavanje računa - Prihodi;0,04
Bosna i Hercegovina;736000;Prihodi;Podgrupa;Kontribucije entiteta;15.759.620,00
Bosna i Hercegovina;736100;Prihodi;Sintetički konto;Kontribucije entiteta;15.759.620,00
Bosna i Hercegovina;736100;Prihodi;Analitički konto;Prihod po osnovu izdatih GSM licenci;6.930.000,00
Bosna i Hercegovina;736100;Prihodi;Analitički konto;Prihod od FED - Fond za povratak BiH;4.000.000,00
Bosna i Hercegovina;736100;Prihodi;Analitički konto;Prihod od RS - Fond za povratak BiH;2.000.000,00
Bosna i Hercegovina;736100;Prihodi;Analitički konto;Prihod od RS - Fond za povratak CEB;2.000.000,00
Bosna i Hercegovina;736100;Prihodi;Analitički konto;Prihod od Vlade Brčko Distrikt - Fond za povratak;650.000,00
Bosna i Hercegovina;736100;Prihodi;Analitički konto;Sredstva za obnovu gradske geodetske mreže;179.620,00
Bosna i Hercegovina;-;Prihodi;Grupa;Primici od imovine;41.951,05
Bosna i Hercegovina;811000;Prihodi;Podgrupa;Kapitalni primici od prodaje stalnih sredstava;41.951,05
Bosna i Hercegovina;811100;Prihodi;Sintetički konto;Primci od prodaje stalnih sredstava;41.951,05
Bosna i Hercegovina;811100;Prihodi;Analitički konto;Primici od prodaje prometnih vozila;38.887,98
Bosna i Hercegovina;811100;Prihodi;Analitički konto;Ostali kapitalni primici;3.063,07
Bosna i Hercegovina;-;Prihodi;Grupa;Primici od zaduživanja;0,00
Bosna i Hercegovina;-;Prihodi;Grupa;Ostali prihodi;5.731,00
Bosna i Hercegovina;778000;Prihodi;Podgrupa;Generalni prihod;5.731,00
Bosna i Hercegovina;778100;Prihodi;Sintetički konto;Generalni prihod;5.731,00
Bosna i Hercegovina;-;Rashodi;Grupa;Lična primanja;492.643.218,00
